Marker,Easting (m),Northing (m),Elevation (m)
C8786,568829.74,137966.54,211.09
C8067,569109.83,137600.88,217.062
C8717,569264.36,137264.99,219.788
C8067_12022020a,569109.815,137600.847,217.061
C8717_12022020a,569264.357,137264.954,219.779
GS_1,569867.459,137832.85,209.435
GS_2,569868.596,137861.065,209.102
GS_3,569867.07,137889.426,208.43
GS_4,569865.027,137916.822,207.984
GS_5,569865.292,137943.619,207.506
GS_6,569871.11,137970.9,207.167
GS_7,569884.911,137970.542,207.08
GS_8,569874.095,137942.879,206.41
GS_9,569872.307,137915.653,206.703
GS_10,569878.517,137888.08,207.171
GS_11,569886.752,137869.335,208.94
GS_12,569901.218,137859.642,209.229
GS_13,569900.913,137863.159,209.855
GS_14,569896.874,137865.811,209.714
GS_15,569911.529,137866.718,209.573
GS_16,569912.558,137863.197,209.496
GS_17,569914.219,137861.977,209.026
GS_18,569914.187,137876.503,208.757
GS_19,569891.078,137874.612,209.407
GS_20,569891.798,137869.547,209.568
GS_21,569896.888,137868.174,209.165
GS_22,569891.117,137877.952,208.168
GS_23,569890.976,137888.854,206.816
GS_24,569894.161,137893.026,205.541
GS_25,569890.14,137905.244,206.302
GS_26,569897.419,137934.911,205.895
GS_27,569907.913,137943.147,206.875
GS_28,569917.814,137940.365,207.42
GS_29,569923.975,137925.479,207.527
GS_30,569927.519,137913.76,208.357
GS_31,569903.349,137896.877,207.244
GS_32,569928.412,137880.112,208.876
C8717_12022020b,569264.357,137264.933,219.787
C8067_12022020b,569109.809,137600.823,217.082
C8717_12032020a,569264.356,137264.963,219.783
C8067_12032020a,569109.802,137600.843,217.066
L1_e1,568635.078,137291.111,222.134
L1_e2,568657.755,137301.659,221.717
L1_e3,568680.558,137312.535,221.5
L1_e4,568703.233,137322.7,221.311
L1_e5,568726.012,137333.159,221.095
L1_e6,568748.442,137343.871,220.946
L1_e7,568771.15,137354.371,220.806
L1_e8,568793.624,137365.036,220.438
L1_e9,568816.384,137375.631,220.146
L1_e10,568838.978,137386.159,219.92
L1_e11,568861.556,137396.87,219.607
L1_e12,568884.354,137407.303,219.341
L1_e13,568907.017,137417.829,218.862
L1_e14,568929.535,137428.606,218.69
L1_e15,568952.317,137439.082,218.389
L1_e16,568975.043,137449.585,218.291
L1_e17,568997.683,137460.128,217.883
L1_e18,569020.376,137470.661,217.927
L1_e19,569043.057,137481.302,218.151
L1_e20,569064.991,137491.892,218.227
L1_e21,569088.284,137502.407,218.111
L1_e22,569110.906,137512.953,218.034
L1_e23,569133.433,137523.36,218.079
L1_e24,569156.314,137534.075,217.93
L1_e25,569178.77,137544.63,217.535
L1_e26,569201.441,137555.194,217.216
L1_e27,569224.226,137565.753,216.981
L1_e28,569246.803,137576.424,216.788
L1_e29,569269.471,137586.881,216.441
L1_e30,569292.18,137597.515,216.304
L1_e31,569314.803,137608.131,215.923
L1_e32,569337.457,137618.596,215.775
L1_e33,569360.666,137629.482,215.515
L1_e34,569383.689,137640.249,215.311
L1_e35,569406.577,137650.741,215.025
L1_e36,569429.462,137661.801,214.741
L1_e37,569452.52,137672.502,214.592
L1_e38,569476.211,137680.795,213.954
L1_e39,569496.227,137692.583,213.67
L1_e40,569518.804,137702.947,213.484
L1_e41,569541.419,137713.686,213.223
L1_e42,569564.094,137724.251,212.528
L1_e43,569586.762,137734.818,212.034
L1_e44,569609.321,137745.457,211.512
L1_e45,569632.001,137755.87,211.311
L1_e46,569654.628,137766.528,211.321
L1_e47,569677.351,137777.129,211.217
L1_e48,569699.945,137787.724,211.062
L1_e49,569722.561,137798.274,210.76
L1_e50,569745.214,137808.768,210.534
L1_e51,569768.025,137819.48,210.246
L1_e52,569790.578,137829.971,210.009
L1_e53,569813.793,137840.666,209.656
L1_e54,569836.169,137851.175,209.568
L1_e55,569858.641,137861.596,209.138
L1_e56,569880.915,137872.148,208.899
L1_e57,569903.885,137882.78,208.272
L1_e58,569926.64,137893.254,208.274
L1_e59,569949.285,137903.803,208.238
L1_e60,569971.991,137914.557,208.055
L1_e61,569994.55,137925.012,208.04
L1_e62,570017.35,137935.55,207.887
L1_e63,570039.816,137946.067,207.765
L1_e64,570062.549,137956.768,207.246
C8067_12032020b,569109.788,137600.843,217.073
C8717_12032020b,569264.348,137264.975,219.786
