Marker,Easting (m),Northing (m),Elevation (m)
C8786,568829.74,137966.54,211.09
C8067,569109.83,137600.88,217.062
C8717,569264.36,137264.99,219.788
C9988,568501.64,138200.91,208.248
C8717_12212020a,569264.36,137264.944,219.783
C8067_12212020a,569109.819,137600.848,217.056
L3_e01,568855.702,137173.156,221.194
L3_e02,568878.337,137183.974,221.112
L3_e03,568901.062,137194.373,220.973
L3_e04,568923.428,137204.767,221.898
L3_e05,568946.463,137215.683,222.012
L3_e06,568969.175,137226.122,221.649
L3_e07,568991.659,137237.104,221.617
L3_e08,569014.48,137247.26,221.608
L3_e09,569037.221,137257.924,221.645
L3_e10,569060.039,137268.788,221.342
L3_e11,569082.5,137279.193,221.252
L3_e12,569105.104,137289.708,220.854
L3_e13,569127.907,137300.287,220.221
L3_e14,569150.594,137310.917,219.775
L3_e15,569173.179,137321.272,219.412
L3_e16,569195.939,137332.164,219.05
L3_e17,569218.595,137342.436,218.977
L3_e18,569241.095,137353.13,218.982
L3_e19,569263.663,137363.557,218.971
L3_e20,569286.599,137374.115,218.973
L3_e21,569309.085,137384.721,219.046
L3_e22,569331.67,137395.031,219.107
L3_e23,569354.38,137405.904,218.769
L3_e24,569376.859,137416.402,218.604
L3_e25,569399.873,137426.903,218.446
L3_e26,569422.489,137437.226,218.335
L3_e27,569444.956,137447.539,218.098
L3_e28,569467.651,137458.554,217.786
L3_e29,569490.066,137469.13,217.703
L3_e30,569513.264,137479.857,217.366
L3_e31,569535.64,137490.318,217.006
L3_e32,569558.175,137500.858,216.708
L3_e33,569580.964,137511.417,216.611
L3_e34,569603.387,137521.958,216.769
L3_e35,569626.281,137532.876,216.441
L3_e36,569649.375,137543.51,216.154
L3_e37,569672.515,137553.773,215.88
L3_e38,569697.212,137560.161,215.601
L3_e39,569721.997,137565.374,215.216
L3_e40,569745.095,137575.125,214.72
L3_e41,569765.839,137589.196,214.553
L3_e42,569784.528,137606.395,214.552
L3_e43,569807.576,137617.097,214.401
L3_e44,569830.265,137627.703,213.918
L3_e45,569852.844,137638.446,213.566
L3_e46,569875.662,137648.893,213.145
L3_e47,569898.885,137659.718,212.72
L3_e48,569921.959,137670.467,212.298
L3_e49,569944.709,137681.635,211.697
L3_e50,569965.31,137691.053,211.315
L3_e51,569988.649,137701.573,210.919
L3_e52,570011.434,137712.443,210.918
L3_e53,570033.929,137722.759,211.176
L3_e54,570056.665,137733.308,211.04
L3_e55,570079.397,137744.038,210.785
L3_e56,570102.133,137754.338,210.622
L3_e57,570124.61,137765.157,210.421
L3_e58,570147.438,137775.552,210.29
L3_e59,570170.244,137786.403,209.83
L3_e60,570192.595,137796.65,209.64
L3_e61,570215.277,137807.358,209.257
L3_e62,570237.973,137817.756,209.082
L3_e63,570260.644,137828.339,208.689
L3_e64,570283.564,137838.938,208.266
C8067_12212020b,569109.831,137600.853,217.061
C8717_12212020b,569264.354,137264.963,219.776
C8717_12222020a,569264.352,137264.957,219.754
C8067_12222020a,569109.837,137600.858,217.057
L3_e65,570305.785,137849.663,207.884
L3_e66,570328.396,137859.897,207.553
L3_e67,570351.136,137870.746,207.166
L3_e68,570374.038,137881.308,206.9
L3_e69,570396.739,137892.297,206.692
L3_e70,570419.174,137902.485,206.531
L3_e71,570441.774,137912.975,206.288
L3_e72,570464.648,137923.608,205.908
L3_e73,570487.015,137934.12,205.725
L3_e74,570509.861,137944.756,205.353
L3_e75,570532.403,137955.265,204.904
L3_e76,570554.641,137965.396,204.739
L3_e77,570577.598,137976.145,204.321
L3_e78,570600.482,137987.067,203.97
L3_e79,570623.435,137997.647,203.653
L3_e80,570646.002,138008.035,203.406
L3_e81,570668.953,138019.034,203.003
L3_e82,570691.11,138029.161,202.781
L3_e83,570713.651,138039.884,202.204
L3_e84,570736.563,138050.538,201.751
L3_e85,570759.05,138060.951,201.493
L3_e86,570781.78,138071.521,201.039
L3_e87,570804.49,138082.072,200.771
L3_e88,570827.515,138092.678,200.457
L3_e89,570850.361,138103.42,200.043
L3_e90,570872.441,138113.831,199.736
L3_e91,570895.056,138124.454,199.461
L3_e92,570917.614,138134.821,199.056
L3_e93,570940.161,138145.444,198.645
L3_e94,570963.126,138156.155,197.962
L3_e95,570985.737,138166.56,197.699
L3_e96,571007.205,138176.628,196.677
C8067-12222020b,569109.795,137600.846,217.052
C8717-12222020b,569264.348,137264.967,219.763
