Marker,Easting (m),Northing (m),Elevation (m),
C8067_06042021a,569109.734,137600.711,217.057,
C8067_06042021b,569109.91,137600.964,217.051,
C8717_06042021a,569264.209,137264.89,219.769,
C8717_06042021b,569264.486,137265.007,219.78,
R2_2_060421_12,569389.575,136576.946,227.262,This is electrode 1 in ERT inversion
R2_2_060421_13,569413.217,136584.994,227.292,2
R2_2_060421_14,569436.819,136593.052,227.505,3
R2_2_060421_15,569460.681,136601.455,228.006,4
R2_2_060421_16,569484.299,136610.074,228.14,5
R2_2_060421_17,569507.847,136617.286,228.05,6
R2_2_060421_18,569531.622,136625.226,227.841,7
R2_2_060421_19,569555.532,136633.44,227.525,8
R2_2_060421_20,569578.916,136641.003,227.486,9
R2_2_060421_21,569602.68,136649.217,227.394,10
R2_2_060421_22,569626.28,136657.199,227.39,11
R2_2_060421_23,569649.927,136665.227,227.175,12
R2_2_060421_24,569673.629,136673.101,227.186,13
R2_2_060421_25,569697.335,136681.224,226.991,14
R2_2_060421_26,569721.066,136689.164,227.094,15
R2_2_060421_27,569744.64,136697.284,226.909,16
R2_2_060421_28,569768.323,136705.128,226.695,17
R2_2_060421_29,569792.08,136713.283,226.482,18
R2_2_060421_30,569815.854,136721.294,226.216,19
R2_2_060421_31,569839.399,136729.273,226.063,20
R2_2_060421_32,569863.278,136737.208,225.674,21
R2_2_060421_33,569886.903,136745.534,225.542,22
R2_2_060421_34,569910.639,136753.107,225.289,23
R2_2_060421_35,569934.193,136761.511,225.138,24
R2_2_060421_36,569957.711,136769.339,225.129,25
R2_2_060421_37,569981.443,136777.152,224.797,26
R2_2_060421_38,570005.187,136785.355,224.461,27
R2_2_060421_39,570028.711,136793.034,224.605,28
R2_2_060421_40,570052.453,136801.115,224.142,29
R2_2_060421_41,570076.247,136809.225,224.1,30
R2_2_060421_42,570099.99,136817.348,223.942,31
R2_2_060421_43,570123.66,136825.249,223.941,32
R2_2_060421_44,570147.365,136833.238,223.891,33
R2_2_060421_45,570171.05,136841.202,223.467,34
R2_2_060421_46,570194.648,136849.235,223.721,35
R2_2_060421_47,570218.45,136857.331,223.067,36
R2_2_060421_48,570242.037,136865.312,222.674,37
R2_2_060421_49,570265.643,136873.203,222.551,38
R2_2_060421_50,570289.63,136881.216,222.296,39
R2_2_060421_51,570313.233,136889.332,222.09,40
R2_2_060421_52,570336.823,136897.434,221.977,41
R2_2_060421_53,570360.408,136905.427,221.741,42
R2_2_060421_54,570384.268,136913.28,221.725,43
R2_2_060421_55,570407.951,136921.294,221.426,44
R2_2_060421_56,570431.603,136929.4,221.324,45
R2_2_060421_57,570455.254,136937.349,221.032,46
R2_2_060421_58,570478.815,136945.568,220.918,47
R2_2_060421_59,570502.559,136953.338,220.762,48
R2_2_060421_60,570526.22,136961.196,220.931,49
R2_2_060421_61,570550.054,136969.44,220.879,50
R2_2_060421_62,570573.748,136977.411,220.761,51
R2_2_060421_63,570597.537,136985.349,220.553,52
R2_2_060421_64,570620.981,136993.291,220.458,53
R2_2_060421_65,570644.721,137002.08,220.016,54
R2_2_060421_66,570668.348,137009.474,220.333,55
R2_2_060421_67,570692.136,137017.296,220.189,56
R2_2_060421_68,570715.687,137025.437,219.983,57
R2_2_060421_69,570739.471,137033.476,219.995,58
R2_2_060421_70,570763.226,137041.403,219.818,59
R2_2_060421_71,570786.786,137049.417,219.749,60
R2_2_060421_72,570810.517,137057.465,219.656,61
R2_2_060421_73,570833.974,137065.412,219.425,62
R2_2_060421_74,570857.912,137073.458,219.29,63
R2_2_060421_75,570881.55,137081.424,219.004,64
C8717_06042021c,569264.492,137265.01,219.787,
C8717_06042021d,569264.214,137264.924,219.788,
C8067_06042021c,569109.808,137600.997,217.065,
C8067_06042021d,569109.839,137600.675,217.063,
C8717_06082021a,569264.502,137265.005,219.782,
C8717_06082021b,569264.208,137264.948,219.773,
C8067_06082021a,569109.838,137601.008,217.067,
C8067_06082021b,569109.782,137600.699,217.062,
well_44-64_grnd_6821a,570390.479,136897.455,221.413,
well_44-64_grnd_6821b,570390.744,136897.342,221.431,
hole_06082021a,571287.013,137226.402,214.943,
hole_06082021b,571289.697,137229.635,214.784,
hole_06082021c,571291.137,137235.761,214.939,
hole_06082021d,571288.177,137241.171,214.825,
hole_06082021e,571282.882,137244.701,214.758,
hole_06082021f,571276.747,137244.56,214.492,
hole_06082021g,571271.924,137240.742,214.614,
hole_06082021h,571268.327,137233.912,214.66,
hole_06082021i,571271.37,137228.122,214.915,
hole_06082021j,571276.549,137224.913,215.127,
hole_06082021k,571281.944,137222.401,214.929,
hole_06082021l,571281.085,137229.403,212.676,
hole_06082021m,571285.073,137231.874,212.651,
hole_06082021n,571285.07,137236.441,212.711,
hole_06082021o,571282.068,137239.782,212.671,
hole_06082021p,571277.802,137239.374,212.783,
hole_06082021q,571275.679,137235.309,212.763,
hole_06082021r,571277.53,137231.323,212.707,
hole_06082021s,571280.39,137229.802,212.698,
hole_06082021t,571283.476,137230.648,212.641,
hole_06082021u,571281.458,137232.861,212.424,
hole_06082021v,571281.212,137235.132,212.424,
hole_06082021w,571278.178,137235.808,212.542,
hole_06082021x,571279.213,137232.429,212.458,
hole_06082021y,571281.568,137232.27,212.41,
hole_06082021z,571280.073,137234.126,212.415,
R2_2_060821_76,570905.051,137089.562,218.982,65
R2_2_060821_77,570928.915,137097.703,218.725,66
R2_2_060821_78,570952.533,137105.656,218.459,67
R2_2_060821_79,570976.587,137113.33,218.287,68
R2_2_060821_80,571000.044,137121.51,218.089,69
R2_2_060821_81,571023.68,137129.564,217.944,70
R2_2_060821_82,571047.361,137137.561,217.975,71
R2_2_060821_83,571070.858,137145.504,217.745,72
R2_2_060821_84,571094.661,137153.527,217.354,73
R2_2_060821_85,571118.383,137161.505,217.272,74
R2_2_060821_86,571141.976,137169.583,216.906,75
R2_2_060821_87,571165.744,137177.557,216.656,76
R2_2_060821_88,571189.537,137185.567,216.501,77
R2_2_060821_89,571213.005,137193.669,216.294,78
R2_2_060821_90,571236.751,137201.544,216.156,79
R2_2_060821_91,571260.626,137209.543,216.188,80
R2_2_060821_92,571284.062,137217.637,215.638,81
R2_2_060821_93,571307.731,137225.853,215.845,82
R2_2_060821_94,571331.582,137233.665,215.553,83
R2_2_060821_95,571355.266,137241.572,215.431,84
R2_2_060821_96,571378.837,137249.561,215.231,85
R2_2_060821_97,571402.63,137257.541,215.032,86
R2_2_060821_98,571426.154,137265.299,214.736,87
R2_2_060821_99,571449.889,137273.727,214.511,88
R2_2_060821_100,571473.715,137281.597,214.308,89
R2_2_060821_101,571497.159,137289.612,213.951,90
R2_2_060821_102,571520.964,137297.713,213.622,91
R2_2_060821_103,571544.662,137305.615,213.288,92
R2_2_060821_104,571568.369,137313.625,212.921,93
R2_2_060821_105,571592.204,137321.527,212.671,94
R2_2_060821_106,571616.061,137329.409,212.678,95
R2_2_060821_107,571639.439,137337.546,212.165,96
R2_2_060821_108,571662.985,137345.629,212.106,97
R2_2_060821_109,571686.692,137353.798,211.952,98
R2_2_060821_110,571710.447,137361.826,211.737,99
R2_2_060821_111,571734.087,137369.733,211.853,100
R2_2_060821_112,571757.786,137377.856,211.324,101
R2_2_060821_113,571781.507,137385.738,211.098,102
R2_2_060821_114,571805.2,137393.688,210.776,103
R2_2_060821_115,571828.944,137401.83,210.233,104
R2_2_060821_116,571852.536,137409.815,209.77,105
R2_2_060821_117,571876.416,137417.755,209.064,106
R2_2_060821_118,571900.078,137425.791,208.898,107
R2_2_060821_119,571923.574,137433.889,208.727,108
R2_2_060821_120,571946.873,137441.745,208.428,109
R2_2_060821_121,571970.962,137449.758,208.113,110
C8717_06082021c,569264.503,137264.996,219.783,
C8717_06082021d,569264.215,137264.955,219.773,
C8067_06082021c,569109.831,137600.999,217.06,
C8067_06082021d,569109.791,137600.706,217.06,
