Marker,Easting (m),Northing (m),Elevation (m)
699-26-38,579030.19,131469.63,164.585
699-26-34A,579394.841,131467.551,161.45
699-26-35C,579332.031,131341.829,162.749
35C_01282021a,579331.932,131341.942,162.735
34A_01282021a,579394.716,131467.443,161.433
E2EL1_e1,581152.316,131609.731,160.128
E2EL1_e2,581172.37,131594.348,160.531
E2EL1_e3,581192.18,131579.224,158.989
E2EL1_e4,581212.046,131564.058,158.185
E2EL1_e5,581231.895,131548.836,158.618
E2EL1_e6,581251.78,131533.622,158.279
E2EL1_e7,581271.64,131518.5,158.47
E2EL1_e8,581291.529,131503.326,158.418
E2EL1_e9,581311.367,131488.101,158.838
E2EL1_e10,581331.24,131473.037,158.534
E2EL1_e11,581351.106,131457.77,158.404
E2EL1_e12,581370.931,131442.744,158.567
E2EL1_e13,581390.887,131427.395,158.763
E2EL1_e14,581410.698,131412.272,158.566
E2EL1_e15,581430.581,131397.082,159.287
E2EL1_e16,581450.437,131381.809,159.137
E2EL1_e17,581470.253,131366.583,158.726
E2EL1_e18,581490.199,131351.49,158.82
E2EL1_e19,581510.005,131336.058,158.695
E2EL1_e20,581529.939,131321.237,158.882
E2EL1_e21,581549.859,131305.988,159.499
E2EL1_e22,581569.668,131290.796,158.902
E2EL1_e23,581589.425,131275.68,158.572
E2EL1_e24,581609.378,131260.406,159.038
E2EL1_e25,581629.26,131245.291,158.959
E2EL1_e26,581649.043,131230.058,159.677
E2EL1_e27,581668.889,131214.925,159.229
E2EL1_e28,581688.821,131199.813,159.05
E2EL1_e29,581708.688,131184.604,159.151
E2EL1_e30,581728.567,131169.387,159.046
E2EL1_e31,581748.539,131154.241,159.327
E2EL1_e32,581768.31,131139.06,159.439
E2EL1_e33,581788.141,131123.812,158.787
E2EL1_e34,581807.998,131108.78,158.856
E2EL1_e35,581827.875,131093.52,159.238
E2EL1_e36,581847.725,131078.32,158.954
E2EL1_e37,581867.621,131063.172,159.127
E2EL1_e38,581887.449,131047.996,159.429
E2EL1_e39,581907.344,131032.747,159.211
E2EL1_e40,581927.303,131017.627,159.001
E2EL1_e41,581946.994,131002.43,158.763
E2EL1_e42,581966.962,130987.299,158.859
E2EL1_e43,581986.844,130972.036,158.795
E2EL1_e44,582006.705,130956.917,158.839
E2EL1_e45,582026.564,130941.705,158.904
E2EL1_e46,582046.449,130926.587,158.835
E2EL1_e47,582066.29,130911.452,159.096
E2EL1_e48,582086.168,130896.205,159.059
E2EL1_e49,582106.002,130881.079,158.779
E2EL1_e50,582125.848,130865.873,158.657
E2EL1_e51,582145.792,130850.752,158.433
E2EL1_e52,582165.581,130835.58,158.173
E2EL1_e53,582185.391,130820.319,157.638
E2EL1_e54,582205.312,130805.243,157.047
E2EL1_e55,582225.225,130789.946,156.729
E2EL1_e56,582245.016,130774.749,156.682
E2EL1_e57,582264.893,130759.621,156.866
E2EL1_e58,582284.845,130744.503,156.803
E2EL1_e59,582304.762,130729.357,156.198
E2EL1_e60,582324.467,130714.058,155.785
E2EL1_e61,582344.432,130698.976,155.55
E2EL1_e62,582364.203,130683.802,156.073
E2EL1_e63,582384.11,130668.68,156.055
E2EL1_e64,582403.962,130653.419,155.832
35C_01282021b,579332.142,131341.765,162.731
34A_01282021c,579394.719,131467.436,161.43
