Marker,Easting (m),Northing (m),Elevation (m)
699-26-34A,579394.841,131467.551,161.45
699-26-35C,579332.031,131341.829,162.749
699-26-38,579030.19,131469.63,164.585
35C_02222021a,579332.0215,131341.8365,162.7435
34A_02222021a,579394.7825,131467.5575,161.432
21-30B_02222021,580817.741,129982.897,165.082
22-28_02222021,581237.166,130338.2915,160.8625
34A_02222021b,579394.796,131467.539,161.424
35C_02222021b,579332.023,131341.8545,162.7345
35C_02242021a,579332.0345,131341.874,162.749
34A_02242021a,579394.806,131467.557,161.442
E2E_A1_e001,580678.882,129953.338,166.081
E2E_A1_e002,580696.897,129970.888,166.014
E2E_A1_e003,580714.684,129988.755,165.872
E2E_A1_e004,580731.853,130006.712,165.83
E2E_A1_e005,580749.551,130024.383,165.588
E2E_A1_e006,580767.094,130042.608,165.405
E2E_A1_e007,580784.21,130060.018,165.279
E2E_A1_e008,580802.125,130078.399,165.093
E2E_A1_e009,580819.525,130096.124,165.023
E2E_A1_e010,580836.871,130114.014,165.261
E2E_A1_e011,580854.438,130131.864,165.461
E2E_A1_e012,580871.958,130149.794,164.955
E2E_A1_e013,580889.428,130167.535,164.74
E2E_A1_e014,580906.837,130185.465,164.285
E2E_A1_e015,580924.328,130203.315,163.835
E2E_A1_e016,580941.883,130221.346,163.327
E2E_A1_e017,580959.274,130239.071,163.332
E2E_A1_e018,580976.826,130256.971,162.766
E2E_A1_e019,580994.355,130274.747,162.723
E2E_A1_e020,581011.835,130292.544,161.542
E2E_A1_e021,581029.257,130310.459,160.778
E2E_A1_e022,581046.73,130328.28,160.285
E2E_A1_e023,581064.335,130346.291,161.599
E2E_A1_e024,581081.85,130364.183,161.908
E2E_A1_e025,581099.249,130381.893,159.724
E2E_A1_e026,581116.833,130399.758,159.288
E2E_A1_e027,581134.381,130417.633,159.983
E2E_A1_e028,581151.673,130435.393,159.479
E2E_A1_e029,581169.226,130453.26,158.544
E2E_A1_e030,581186.854,130471.292,158.538
E2E_A1_e031,581204.124,130488.817,158.942
E2E_A1_e032,581221.541,130506.813,158.243
E2E_A1_e033,581239.029,130524.779,157.211
E2E_A1_e034,581256.542,130542.817,159.326
E2E_A1_e035,581274.043,130560.525,159.281
E2E_A1_e036,581291.782,130578.31,157.928
E2E_A1_e038,581326.649,130614.164,157.15
E2E_A1_e037,581309.069,130596.372,156.113
E2E_A1_e039,581344.065,130632.12,156.176
E2E_A1_e040,581361.782,130649.87,156.518
E2E_A1_e041,581379.136,130667.711,157.291
E2E_A1_e042,581396.692,130685.673,158.432
E2E_A1_e043,581414.104,130703.448,157.332
E2E_A1_e044,581431.526,130721.181,157.265
E2E_A1_e045,581448.979,130739.155,154.488
E2E_A1_e046,581466.469,130757.089,155.915
E2E_A1_e047,581484.224,130775.068,155.398
E2E_A1_e048,581501.59,130792.76,156.133
E2E_A1_e049,581518.92,130810.735,157.195
E2E_A1_e050,581536.749,130828.629,157.877
E2E_A1_e051,581554.123,130846.532,156.565
E2E_A1_e052,581571.564,130864.17,156.622
E2E_A1_e053,581589.125,130882.335,156.984
E2E_A1_e054,581606.507,130899.872,157.368
E2E_A1_e055,581624.007,130917.826,157.636
E2E_A1_e056,581641.569,130935.863,158.116
E2E_A1_e057,581659.013,130953.485,158.147
E2E_A1_e058,581676.587,130971.542,158.279
E2E_A1_e059,581693.894,130989.024,158.536
E2E_A1_e060,581711.432,131007.248,158.487
E2E_A1_e061,581728.983,131025.026,158.696
E2E_A1_e062,581746.494,131042.962,158.758
E2E_A1_e063,581763.857,131060.759,158.879
E2E_A1_e064,581781.222,131078.803,159.083
34A_02242021b,579394.808,131467.555,161.4355
35C_02242021b,579332.036,131341.8635,162.742
