Marker,Easting (m),Northing (m),Elevation (m)
35C_03162021a,579332.144,131341.781,162.743
35C_03162021b,579331.936,131341.932,162.747
34A_03162021a,579394.703,131467.444,161.442
34A_03162021b,579394.903,131467.69,161.443
A2_e145,580370.674,132207.117,161.466
A2_e146,580376.18,132231.606,163.878
A2_e147,580381.57,132255.888,164.155
A2_e148,580387.441,132280.452,165.787
A2_e149,580392.493,132304.668,167.363
A2_e150,580398.217,132328.871,167.524
A2_e151,580403.89,132353.227,169.721
A2_e152,580409.253,132377.901,172.507
A2_e153,580414.664,132402.114,173.078
A2_e154,580420.238,132426.625,168.848
A2_e155,580426.1,132451.055,166.187
A2_e156,580431.361,132475.472,164.087
A2_e157,580436.738,132499.855,164.896
A2_e158,580442.056,132524.285,163.332
A2_e159,580447.588,132548.706,161.255
A2_e160,580453.318,132573.159,159.725
A2_e161,580458.788,132597.334,160.588
A2_e162,580464.042,132621.683,161.625
A2_e163,580469.466,132645.96,162.506
A2_e164,580475.072,132670.555,162.234
A2_e165,580480.661,132694.814,161.594
A2_e166,580485.892,132719.394,160.682
A2_e167,580491.461,132743.585,160.908
A2_e168,580497.042,132768.265,160.677
A2_e169,580502.478,132792.396,160.71
A2_e170,580507.938,132817.097,161.078
A2_e171,580513.461,132841.159,161.754
A2_e172,580518.974,132865.393,161.501
A2_e173,580524.357,132889.876,162.679
A2_e174,580530.123,132914.532,164.045
A2_e175,580535.537,132938.85,161.845
A2_e176,580541.079,132963.143,159.741
A2_e177,580546.328,132987.739,159.262
A2_e178,580551.835,133012.047,159.986
A2_e179,580557.435,133036.541,162.493
A2_e180,580563.057,133060.809,164.408
A2_e181,580568.436,133085.026,162.699
A2_e182,580573.245,133109.589,162.9
A2_e183,580579.308,133133.84,165
A2_e184,580585.009,133158.276,163.609
A2_e185,580590.475,133182.796,159.193
A2_e186,580595.797,133207.097,158.714
A2_e187,580601.198,133231.248,158.759
A2_e188,580606.962,133255.656,158.936
A2_e189,580612.172,133280.272,159.318
A2_e190,580617.582,133304.629,159.441
A2_e191,580623.162,133328.934,159.811
A2_e192,580628.877,133353.428,159.711
A2_e193,580634.099,133377.998,160.297
A2_e194,580639.638,133402.231,159.534
A2_e195,580645.153,133426.62,159.347
A2_e196,580650.688,133451.05,159.492
A2_e197,580656.202,133475.23,159.652
A2_e198,580661.735,133499.88,160.67
A2_e199,580667.169,133524.018,161.309
A2_e200,580672.534,133548.594,160.207
A2_e201,580678.174,133572.891,160.861
A2_e202,580683.641,133597.321,162.348
A2_e203,580689.039,133621.751,161.854
A2_e204,580694.73,133646.239,162.066
A2_e205,580700.081,133670.331,161.277
A2_e206,580705.433,133695.031,159.794
A2_e207,580711.028,133719.162,159.827
A2_e208,580716.481,133743.922,160.246
34A_03162021c,579394.719,131467.434,161.43
34A_03162021d,579394.881,131467.697,161.436
35C_03162021c,579332.136,131341.782,162.751
35C_03162021d,579331.933,131341.923,162.752
