Marker,Easting (m),Northing (m),Elevation (m)
35C_03302021a,579332.156,131341.786,162.73
35C_03302021b,579331.93,131341.938,162.726
34A_03302021a,579394.706,131467.432,161.423
34A_03302021b,579394.952,131467.637,161.434
34B_not_visible,579645.383,129139.131,164.436
B8056_decom,579666.675,129156.856,164.43
34A_not_visible,579664.541,129162.617,164.138
only_well_here_a,579924.63,130629.885,169.341
only_well_here_b,579924.541,130630.076,169.31
A2_e065,579924.608,130221.595,169.846
A2_e066,579930.127,130246.3,169.858
A2_e067,579935.601,130270.231,170.128
A2_e068,579941.221,130294.779,170.33
A2_e069,579946.611,130319.152,170.478
A2_e070,579952.059,130343.346,170.652
A2_e071,579957.691,130367.834,170.581
A2_e072,579962.924,130392.276,170.2
A2_e073,579968.124,130416.679,170.829
A2_e074,579973.938,130441.168,170.903
A2_e075,579979.374,130465.637,169.995
A2_e076,579984.806,130489.989,170.26
A2_e077,579990.448,130514.398,170.254
A2_e078,579995.785,130538.795,170.166
A2_e079,580001.279,130563.069,169.396
A2_e080,580006.665,130587.478,169.715
A2_e081,580012.269,130611.755,170.029
A2_e082,580017.638,130636.253,169.852
A2_e083,580023.218,130660.822,170.207
A2_e084,580028.659,130685.149,170.366
A2_e085,580034.295,130709.447,170.59
A2_e086,580039.499,130733.845,170.06
A2_e087,580045.109,130758.176,170.721
A2_e088,580050.566,130782.586,170.77
A2_e089,580056.141,130806.92,170.178
A2_e090,580061.767,130831.497,169.186
A2_e091,580067.164,130855.795,169.067
A2_e092,580072.722,130880.131,168.896
A2_e093,580078.154,130904.64,168.465
A2_e094,580083.615,130928.882,167.881
A2_e095,580088.983,130953.363,167.856
A2_e096,580094.535,130977.815,167.787
A2_e097,580099.996,131002.066,167.928
A2_e098,580105.503,131026.568,168.351
A2_e099,580111.027,131050.993,168.153
A2_e100,580116.5,131075.356,168.838
A2_e101,580121.925,131099.607,167.949
A2_e102,580127.475,131124.133,168.358
A2_e103,580132.89,131148.494,167.043
A2_e104,580138.344,131172.984,165.013
A2_e105,580143.885,131197.129,163.679
A2_e106,580149.424,131221.744,161.503
A2_e107,580154.927,131246.094,161.035
A2_e108,580160.429,131270.548,160.058
A2_e109,580165.937,131294.76,159.904
A2_e110,580171.337,131319.125,160.997
A2_e111,580177.24,131343.534,158.065
A2_e112,580182.411,131367.931,157.334
34A_03302021c,579394.709,131467.429,161.44
34A_03302021d,579394.903,131467.717,161.437
35C_03302021c,579332.147,131341.779,162.739
35C_03302021d,579331.933,131341.94,162.735
