Marker,Easting (m),Northing (m),Elevation (m)
35C_03182021a,579332.142,131341.787,162.73
35C_03182021b,579331.935,131341.931,162.743
34A_03182021a,579394.723,131467.436,161.433
34A_03182021b,579394.887,131467.705,161.43
A3_e177,577608.876,134319.032,175.421
A3_e178,577619.909,134341.624,176.336
A3_e179,577630.824,134363.987,177.324
A3_e180,577641.832,134386.496,177.403
A3_e181,577652.838,134409.004,176.744
A3_e182,577663.884,134431.548,176.011
A3_e183,577674.87,134453.93,176.692
A3_e184,577685.749,134476.407,177.836
A3_e185,577696.795,134498.888,177.911
A3_e186,577707.819,134521.295,178.273
A3_e187,577718.648,134543.493,176.32
A3_e188,577729.848,134566.187,175.27
A3_e191,577762.882,134633.663,169.548
A3_e192,577773.577,134656.123,168.271
A3_e193,577784.509,134678.362,165.051
A3_e194,577795.307,134700.891,164.479
A3_e195,577806.382,134723.551,165.345
A3_e196,577817.548,134745.868,165.613
A3_e197,577828.41,134768.254,166.438
A3_e198,577839.56,134790.897,167.723
A3_e199,577850.379,134813.328,168.136
A3_e201,577872.192,134858.19,164.795
A3_e202,577883.432,134880.639,166.947
A3_e203,577894.294,134903.147,168.528
A3_e204,577905.238,134925.65,165.171
A3_e205,577916.22,134948.116,166.252
A3_e206,577927.264,134970.632,168.646
A3_e207,577938.26,134992.924,168.679
A3_e208,577949.291,135015.366,165.347
A3_e209,577960.063,135037.824,163.792
A3_e210,577971.048,135060.252,163.855
A3_e211,577982.027,135082.767,163.903
A3_e212,577993.185,135105.301,164.023
A3_e213,578004.127,135127.823,164.413
A3_e214,578015.078,135150.217,164.861
A3_e215,578025.973,135172.62,164.666
A3_e216,578036.851,135195.098,165.274
A3_e217,578048.082,135217.626,164.675
A3_e218,578058.927,135240.079,164.122
A3_e219,578069.905,135262.615,163.99
A3_e220,578080.847,135285.047,163.96
A3_e221,578091.995,135307.448,167.518
A3_e222,578102.813,135329.862,166.984
A3_e223,578113.827,135352.415,163.876
A3_e224,578124.886,135374.731,163.769
A3_e225,578135.828,135397.336,163.863
A3_e226,578146.853,135419.603,164.308
A3_e227,578157.633,135442.202,163.979
A3_e228,578168.561,135464.79,163.814
A3_e229,578179.667,135487.256,163.778
A3_e230,578190.624,135509.468,163.77
A3_e231,578201.913,135531.831,163.771
A3_e232,578212.6,135554.526,163.508
A3_e233,578223.555,135576.993,163.118
A3_e234,578234.472,135599.526,163.076
A3_e235,578245.586,135621.91,163.192
A3_e236,578256.459,135644.395,163.262
A3_e237,578267.347,135666.732,162.995
A3_e238,578278.458,135689.128,162.703
A3_e239,578289.52,135711.333,162.443
A3_e240,578300.257,135734.125,162.412
39_03182021a,578052.502,135391.56,163.793
39_03182021b,578052.3,135391.651,163.85
A3_e200,577861.298,134835.716,164.178
A3_e190,577751.569,134611.26,169.517
A3_e189,577740.686,134588.648,171.355
34A_03182021c,579394.737,131467.417,161.44
34A_03182021d,579394.906,131467.692,161.436
35C_03182021c,579332.149,131341.784,162.728
35C_03182021d,579331.928,131341.942,162.719
