Marker,Easting (m),Northing (m),Elevation (m)
35C_02032021a,579332.04,131341.852,162.73
34A_02032021a,579394.842,131467.54,161.43
E2E_L3_e01,577102.466,134721.122,205.675
E2E_L3_e02,577122.422,134705.866,201.003
E2E_L3_e03,577142.152,134690.698,196.665
E2E_L3_e04,577162.091,134675.535,193.672
E2E_L3_e05,577181.992,134660.27,193.111
E2E_L3_e06,577201.834,134645.199,191.972
E2E_L3_e07,577221.636,134629.831,190.805
E2E_L3_e08,577241.608,134614.955,189.392
E2E_L3_e09,577261.369,134599.46,188.107
E2E_L3_e10,577281.164,134584.3,186.689
E2E_L3_e11,577301.271,134569.547,185.512
E2E_L3_e12,577321.189,134554.095,186.537
E2E_L3_e13,577341.031,134539.142,187.846
E2E_L3_e14,577361.399,134524.062,187.929
E2E_L3_e15,577380.834,134508.878,186.954
E2E_L3_e16,577400.817,134493.661,184.882
E2E_L3_e17,577420.577,134478.504,182.46
E2E_L3_e18,577440.376,134463.266,181.437
E2E_L3_e19,577460.432,134448.143,180.756
E2E_L3_e20,577480.213,134432.962,179.135
E2E_L3_e21,577500.211,134417.703,180.484
E2E_L3_e22,577519.957,134402.678,180.723
E2E_L3_e23,577540.001,134387.639,178.377
E2E_L3_e24,577559.721,134372.335,177.258
E2E_L3_e25,577579.809,134357.292,176.922
E2E_L3_e26,577599.531,134341.938,176.163
E2E_L3_e27,577619.475,134327.021,175.788
E2E_L3_e28,577639.317,134311.73,176.032
E2E_L3_e29,577659.275,134296.501,176.97
E2E_L3_e30,577678.925,134281.282,175.468
E2E_L3_e31,577698.905,134266.303,176.42
E2E_L3_e32,577718.934,134251.129,176.937
E2E_L3_e33,577738.796,134235.941,174.693
E2E_L3_e34,577758.57,134220.849,172.41
E2E_L3_e35,577778.305,134205.53,170.514
E2E_L3_e36,577798.328,134190.564,170.664
E2E_L3_e37,577818.29,134175.273,171.852
E2E_L3_e38,577838.138,134160.187,172.492
E2E_L3_e39,577858.089,134145.18,171.691
E2E_L3_e40,577878.043,134129.775,171.537
E2E_L3_e41,577897.507,134114.736,168.302
E2E_L3_e42,577917.592,134099.317,167.746
E2E_L3_e43,577937.601,134084.383,169.084
E2E_L3_e44,577957.185,134069.271,167.769
E2E_L3_e45,577977.087,134054.046,165.325
E2E_L3_e46,577997.172,134038.983,165.587
E2E_L3_e47,578017.101,134023.653,164.658
E2E_L3_e48,578036.99,134008.571,164.324
E2E_L3_e49,578056.817,133993.333,162.793
E2E_L3_e50,578076.556,133978.151,164.731
E2E_L3_e51,578096.629,133963.187,165.205
E2E_L3_e52,578116.384,133948.026,164.86
E2E_L3_e53,578136.532,133932.81,164.484
E2E_L3_e54,578156.185,133917.5,163.62
E2E_L3_e55,578175.911,133902.177,162.113
E2E_L3_e56,578195.878,133887.224,161.878
E2E_L3_e57,578215.924,133872.119,161.827
E2E_L3_e58,578235.567,133856.977,162.935
E2E_L3_e59,578255.577,133841.775,162.185
E2E_L3_e60,578275.386,133826.682,162.296
E2E_L3_e61,578295.283,133811.242,161.244
E2E_L3_e62,578315.044,133796.408,161.497
E2E_L3_e63,578335.142,133781.36,161.702
E2E_L3_e64,578355.034,133766.095,162.121
34A_02032021c,579394.821,131467.53,161.426
35C_02032021c,579332.039,131341.851,162.737
