Marker,Easting (m),Northing (m),Elevation (m)
35C_07222021a,579332.134,131341.753,162.739
35C_07222021b,579331.912,131341.922,162.751
34_07222021a,579394.716,131467.412,161.434
34_07222021b,579394.9,131467.694,161.429
A3_e1,575666.173,130343.437,185.611
geodetic_marker,575682.318,130358.291,186.373
A3_e2,575677.356,130365.832,186.318
A3_e3,575688.219,130388.435,185.626
A3_e4,575698.957,130410.794,185.181
A3_e5,575709.937,130433.31,184.558
A3_e6,575720.94,130455.698,184.332
A3_e7,575731.959,130477.966,183.813
A3_e8,575742.818,130500.212,183.123
A3_e9,575753.772,130523.136,181.956
A3_e10,575764.874,130545.7,181.627
A3_e11,575776.065,130568.1,181.15
A3_e12,575786.73,130590.584,181.199
A3_e13,575797.744,130612.78,180.635
A3_e14,575808.743,130635.266,180.228
A3_e15,575819.759,130657.999,179.962
A3_e16,575830.742,130680.308,179.285
A3_e17,575841.745,130702.645,178.989
A3_e18,575852.448,130725.003,178.093
A3_e19,575863.728,130747.648,178.287
A3_e20,575874.82,130769.809,177.865
A3_e21,575885.579,130792.411,178.066
A3_e22,575896.718,130815.012,177.908
699-24-46a,575785.657,130793.647,180.756
699-24-46b,575785.766,130794.036,180.786
A3_e23,575907.783,130837.489,177.544
A3_e24,575918.64,130860.073,176.905
A3_e25,575929.558,130882.204,177.734
A3_e26,575940.626,130905.087,178.472
A3_e27,575951.455,130927.224,177.278
A3_e28,575962.731,130950.049,178.474
A3_e29,575973.568,130971.955,178.885
A3_e30,575984.254,130994.633,179.307
A3_e31,575995.152,131017.276,180.341
A3_e32,576006.469,131039.714,181.843
A3_e33,576017.906,131062.241,182.467
A3_e34,576028.37,131084.674,178.357
A3_e35,576039.337,131107.143,177.918
A3_e36,576050.418,131129.271,178.385
A3_e37,576061.272,131151.894,175.406
A3_e38,576072.262,131174.454,176.004
A3_e39,576083.206,131196.898,174.863
A3_e40,576094.293,131219.253,173.156
A3_e41,576105.216,131241.721,174.09
A3_e42,576116.296,131264.087,176.927
A3_e43,576127.164,131286.732,177.865
A3_e44,576138.095,131309.14,178.263
A3_e45,576149.322,131331.532,180.641
A3_e46,576160.244,131354.5,180.078
A3_e47,576171.156,131377.055,181.644
A3_e48,576182.232,131399.151,176.529
A3_e49,576192.965,131421.377,177.502
A3_e50,576204.004,131443.984,178.456
A3_e51,576215.011,131466.405,174.23
A3_e52,576225.993,131488.952,175.205
A3_e53,576236.988,131511.367,177.019
A3_e54,576247.883,131533.773,178.297
A3_e55,576258.767,131556.232,178.281
A3_e56,576269.909,131578.492,177.591
A3_e57,576281.014,131601.243,177.029
A3_e58,576291.856,131623.605,176.879
A3_e59,576302.926,131646.274,174.06
A3_e60,576313.721,131668.608,173.249
A3_e61,576324.654,131691.166,169.967
A3_e62,576335.832,131713.561,167.861
A3_e63,576346.579,131735.972,167.592
A3_e64,576357.63,131758.513,168.953
A3_e65,576368.713,131780.942,168.729
A3_e66,576379.638,131803.414,169.484
A3_e67,576390.635,131825.804,171.761
A3_e68,576401.602,131848.155,173.964
A3_e69,576412.64,131870.661,175.117
A3_e70,576423.384,131893.173,170.477
A3_e71,576434.591,131915.677,171.9
A3_e72,576445.328,131938.395,173.787
A3_e73,576456.528,131960.551,174.788
A3_e74,576467.35,131983.316,174.686
A3_e75,576478.235,132005.587,175.89
A3_e76,576489.234,132028.02,177.317
A3_e77,576500.474,132050.473,176.821
A3_e78,576511.272,132072.876,173.446
A3_e79,576522.642,132095.337,173.083
A3_e80,576533.192,132117.79,171.453
34_07222021c,579394.725,131467.405,161.446
34_07222021d,579394.907,131467.694,161.439
35C_07222021c,579332.13,131341.754,162.75
35C_07222021d,579331.906,131341.925,162.75
