Marker,Easting (m),Northing (m),Elevation (m)
35C_04272021a,579332.118,131341.749,162.735
35C_04272021b,579331.921,131341.93,162.735
34A_04272021a,579394.696,131467.442,161.43
34A_04272021b,579394.914,131467.697,161.441
A3_e113,576895.521,132859.119,162.241
A3_e114,576906.455,132881.587,161.258
A3_e115,576917.524,132903.921,161.092
A3_e116,576928.513,132926.118,161.546
A3_e117,576939.518,132948.937,159.571
A3_e118,576950.391,132971.46,158.577
A3_e119,576961.334,132993.82,158.953
A3_e120,576972.42,133016.292,160.729
A3_e121,576983.301,133038.829,160.533
A3_e122,576994.1,133061.284,160.188
A3_e123,577005.233,133083.673,160.858
A3_e124,577016.229,133106.073,161.339
A3_e125,577027.269,133128.677,161.564
A3_e126,577038.093,133151.082,161.124
A3_e127,577049.105,133173.509,162.655
A3_e128,577060.162,133196.1,163.883
A3_e129,577071.105,133218.503,165.111
A3_e130,577082.036,133240.897,165.525
A3_e131,577093.077,133263.459,164.357
A3_e132,577103.997,133285.766,164.681
A3_e141,577202.675,133487.792,162.802
A3_e142,577213.709,133510.291,164.41
A3_e143,577224.74,133532.746,165.121
A3_e144,577235.605,133555.12,163.976
A3_e145,577246.685,133577.701,163.917
A3_e146,577257.612,133600.107,164.406
A3_e147,577268.61,133622.66,164.729
A3_e148,577279.531,133645.109,164.417
A3_e149,577290.569,133667.692,164.752
A3_e150,577301.482,133690.119,165.753
A3_e151,577312.442,133712.575,165.894
A3_e152,577323.463,133735.076,166.835
A3_e153,577334.296,133757.477,168.112
A3_e154,577345.37,133779.871,168.349
A3_e155,577356.41,133802.368,168.79
A3_e156,577367.372,133824.676,169.361
A3_e157,577378.326,133847.232,170.893
A3_e158,577389.252,133869.937,171.852
A3_e159,577400.351,133892.227,172.508
A3_e160,577411.208,133914.564,171.147
A3_e161,577422.284,133937.124,167.985
A3_e162,577433.042,133959.323,167.768
A3_e163,577444.249,133982.112,168.899
A3_e164,577455.271,134004.6,170.317
A3_e165,577466.06,134027.125,168.566
A3_e166,577477.011,134049.614,168.525
A3_e167,577487.961,134071.93,169.966
A3_e168,577499.111,134094.387,170.365
A3_e169,577510.078,134116.855,168.775
A3_e170,577520.916,134139.326,169.956
A3_e171,577531.963,134161.827,171.408
A3_e172,577542.933,134184.06,171.797
A3_e173,577553.916,134206.806,170.241
A3_e174,577564.953,134229.187,169.807
A3_e175,577575.975,134251.74,170.891
A3_e176,577586.789,134274.178,174.433
34A_04272021c,579394.711,131467.411,161.433
34A_04272021d,579394.824,131467.737,161.443
35C_04272021c,579332.104,131341.76,162.739
35C_04272021d,579331.923,131341.934,162.739
35C_04282021a,579332.123,131341.787,162.698
35C_04282021b,579331.94,131341.979,162.69
34A_04282021a,579394.714,131467.456,161.395
34A_04282021b,579394.916,131467.72,161.392
A3_e133,577114.995,133308.221,161.152
A3_e134,577125.884,133330.876,158.18
A3_e135,577136.928,133353.276,158.018
A3_e136,577147.795,133375.605,157.802
A3_e137,577158.904,133398.188,157.863
A3_e138,577169.693,133420.724,158.563
A3_e139,577180.723,133443,159.924
A3_e140,577191.67,133465.505,161.176
34A_04282021c,579394.707,131467.465,161.397
34A_04282021d,579394.865,131467.752,161.385
35C_04282021c,579332.133,131341.798,162.701
35C_04282021d,579331.933,131341.97,162.684
