Marker,Easting (m),Northing (m),Elevation (m)
35C_06252021a,579332.114,131341.711,162.733
35C_06252021b,579331.935,131341.907,162.732
34_06252021a,579394.66,131467.578,161.428
34_06252021b,579394.947,131467.471,161.422
A3_E81,576544.122,132140.365,167.204
A3_E82,576554.939,132162.475,166.025
A3_E83,576566.127,132184.859,163.445
A3_E84,576576.872,132207.728,161.415
A3_E85,576588.013,132229.927,163.552
A3_E86,576599.046,132252.496,166.08
A3_E87,576610.059,132275.078,167.603
A3_E88,576621.465,132298.005,166.944
A3_E89,576632.453,132320.59,164.677
A3_E90,576643.246,132342.196,161.701
A3_E91,576654.171,132364.565,161.324
A3_E92,576664.996,132387.44,162.479
A3_E93,576676.109,132409.6,162.999
A3_E94,576686.492,132432.314,161.173
A3_E95,576697.942,132454.742,161.801
A3_E96,576709.009,132476.637,162.478
A3_E97,576720.267,132499.446,162.354
A3_E98,576730.876,132521.834,160.082
A3_E99,576741.844,132544.344,160.594
A3_E100,576752.868,132566.944,159.768
A3_E101,576763.69,132589.308,160.222
A3_E102,576774.658,132611.794,160.387
A3_E103,576785.58,132634.14,160.598
A3_E104,576796.702,132656.814,161.033
A3_E105,576807.747,132679.275,160.396
A3_E106,576818.57,132701.757,159.767
A3_E107,576829.665,132724.205,160.064
A3_E108,576840.548,132746.795,160.221
A3_E109,576851.533,132769.114,160.018
A3_E110,576862.226,132791.761,159.797
A3_E111,576873.455,132814.117,160.883
A3_E112,576884.187,132836.495,161.949
A3_buried_ca_1,577361.966,133564.984,165.27
A3_buried_ca_2,577258.337,133422.729,166.157
A3_buried_ca_3,577162.242,133289.193,166.802
A3_buried_ca_4,577089.507,133192.484,163.532
A3_buried_ca_5,576969.619,133025.432,161.49
A3_buried_ca_6,576890.835,132916.684,161.138
A3_buried_ca_7,576817.633,132818.391,160.118
A3_buried_ca_8,576725.983,132691.433,160.268
A3_buried_ca_9,576638.114,132570.673,161.06
A3_buried_ca_10,576549.751,132443.674,163.569
A3_buried_ca_11,576501.983,132382.181,164.438
A3_buried_ca_12,576421.565,132271.564,167.854
34_06252021c,579394.644,131467.569,161.432
34_06252021d,579394.965,131467.487,161.414
35C_06252021c,579332.019,131341.943,162.722
35C_06252021d,579332.046,131341.684,162.735
